student_id,Lvl 1,Lvl 2,Lvl 3,Lvl 4,PHAC 358,PHAC 359,PHAC 457,PHAC 556,PHAC 855,PHBM 149,PHBM 250,PHBM 453,PHBM 552,PHBM 654,PHBM 751,PHBM 848,PHBM 947,PHCC 022,PHCC 121,PHCC 326,PHCC 629,PHCC 728,PHCC 924,PHCC 927,PHCC023,PHCC225,PHE1,PHE2,PHE3,PHE4,PHE5,PHE6,PHE7,PHPC 446,PHPC 545,PHPP 543,PHPP 642,PHPP 741,PHPP 839,PHPP 840,PHPT 030,PHPT 337,PHPT 436,PHPT 535,PHPT 638,PHPT 734,PHPT 833,PHPT 931,PHPT 932,PHR 015,PHR 016,PHR 017,PHR 104,PHR 206,PHR 208,PHR 209,PHR 310,PHR 319,PHR 405,PHR 420,PHR 512,PHR 718,PHR 913,PHR 914,RQU 103,RQU 207,RQU 211,RQU101,RQU102,RQUE1,RQUE2,RQUE3,RQUE4,RQUE5,RQUE6
656,0.0,0.0,0.0,0.0,81.0,71.0,74.0,68.0,86.0,70.0,78.0,86.0,60.0,79.0,77.0,68.0,76.0,92.0,65.0,79.0,80.0,84.0,79.0,69.0,74.0,78.0,87.0,84.0,68.0,0.0,87.0,0.0,81.0,77.0,77.0,67.0,63.0,73.0,78.0,73.0,78.0,84.0,91.0,78.0,85.0,86.0,77.0,72.0,84.0,79.0,90.0,73.0,71.0,71.0,81.0,75.0,86.0,83.0,87.0,84.0,62.0,81.0,66.0,93.0,75.0,83.0,94.0,82.0,74.0,69.0,0.0,0.0,0.0,79.0,0.0
657,0.0,0.0,0.0,0.0,75.0,71.0,77.0,71.0,87.0,71.0,79.0,83.0,60.0,84.0,83.0,73.0,77.0,89.0,60.0,79.0,80.0,84.0,84.0,73.0,81.0,86.0,81.0,84.0,80.0,0.0,88.0,0.0,78.0,87.0,82.0,73.0,61.0,83.0,74.0,77.0,82.0,72.0,78.0,80.0,88.0,78.0,82.0,83.0,76.0,78.0,91.0,72.0,69.0,70.0,68.0,51.0,84.0,91.0,75.0,88.0,77.0,79.0,69.0,91.0,74.0,82.0,85.0,85.0,65.0,74.0,0.0,0.0,0.0,82.0,0.0
658,0.0,0.0,0.0,0.0,60.0,57.0,68.0,67.0,59.0,58.0,69.0,63.0,64.0,61.0,57.0,61.0,62.0,61.0,60.0,67.0,56.0,68.0,67.0,76.0,63.0,77.0,59.0,75.0,68.0,0.0,91.0,0.0,71.0,58.0,69.0,54.0,59.0,64.0,51.0,69.0,58.0,50.0,50.0,65.0,68.0,56.0,69.0,69.0,63.0,67.0,69.0,87.0,55.0,60.0,60.0,69.0,58.0,65.0,61.0,62.0,64.0,52.0,65.0,95.0,66.0,51.0,93.0,67.0,81.0,62.0,0.0,0.0,0.0,62.0,0.0
659,0.0,0.0,0.0,0.0,56.0,70.0,62.0,64.0,71.0,62.0,57.0,66.0,56.0,66.0,63.0,55.0,56.0,83.0,53.0,73.0,70.0,74.0,80.0,60.0,69.0,60.0,65.0,60.0,62.0,0.0,52.0,0.0,64.0,63.0,62.0,55.0,59.0,58.0,58.0,58.0,59.0,65.0,86.0,78.0,80.0,58.0,72.0,62.0,63.0,67.0,73.0,63.0,60.0,67.0,63.0,77.0,62.0,71.0,79.0,81.0,61.0,70.0,62.0,92.0,72.0,68.0,80.0,50.0,60.0,78.0,0.0,0.0,0.0,75.0,0.0
660,0.0,0.0,0.0,0.0,63.0,58.0,71.0,67.0,73.0,69.0,64.0,78.0,66.0,80.0,67.0,59.0,74.0,87.0,75.0,72.0,75.0,80.0,84.0,51.0,61.0,67.0,85.0,64.0,57.0,0.0,73.0,0.0,80.0,84.0,70.0,66.0,51.0,70.0,63.0,50.0,77.0,73.0,80.0,83.0,87.0,61.0,71.0,73.0,79.0,71.0,86.0,71.0,62.0,75.0,61.0,77.0,74.0,64.0,82.0,89.0,77.0,69.0,71.0,95.0,64.0,62.0,76.0,60.0,68.0,74.0,0.0,0.0,0.0,68.0,0.0
661,0.0,0.0,0.0,0.0,73.0,81.0,83.0,81.0,72.0,66.0,82.0,60.0,71.0,82.0,90.0,60.0,66.0,86.0,82.0,78.0,85.0,79.0,67.0,64.0,78.0,78.0,86.0,67.0,69.0,0.0,80.0,0.0,67.0,85.0,77.0,70.0,63.0,67.0,62.0,64.0,74.0,79.0,89.0,71.0,86.0,67.0,72.0,63.0,84.0,94.0,86.0,70.0,76.0,81.0,85.0,80.0,86.0,83.0,80.0,86.0,92.0,80.0,58.0,97.0,85.0,92.0,75.0,79.0,76.0,72.0,0.0,0.0,0.0,90.0,0.0
662,0.0,0.0,0.0,0.0,69.0,77.0,0.0,0.0,0.0,65.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,74.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,85.0,90.0,68.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,85.0,87.0,93.0,67.0,75.0,0.0,0.0,94.0,0.0,0.0
663,0.0,0.0,0.0,0.0,75.0,67.0,61.0,75.0,73.0,64.0,62.0,58.0,65.0,67.0,77.0,67.0,70.0,82.0,65.0,56.0,85.0,84.0,74.0,78.0,71.0,80.0,92.0,73.0,73.0,0.0,81.0,0.0,67.0,75.0,52.0,88.0,83.0,78.0,77.0,90.0,84.0,60.0,83.0,70.0,88.0,78.0,85.0,70.0,82.0,89.0,88.0,71.0,87.0,79.0,66.0,64.0,72.0,80.0,91.0,77.0,57.0,69.0,84.0,91.0,79.0,61.0,70.0,60.0,57.0,61.0,79.0,0.0,0.0,0.0,0.0
664,0.0,0.0,0.0,0.0,82.0,98.0,74.0,78.0,68.0,78.0,98.0,73.0,61.0,92.0,86.0,52.0,70.0,84.0,86.0,89.0,84.0,83.0,73.0,61.0,73.0,93.0,85.0,76.0,86.0,0.0,87.0,0.0,96.0,96.0,72.0,78.0,64.0,58.0,60.0,58.0,72.0,94.0,94.0,92.0,84.0,87.0,84.0,63.0,77.0,81.0,83.0,86.0,100.0,83.0,88.0,83.0,91.0,92.0,90.0,95.0,74.0,65.0,83.0,96.0,89.0,92.0,98.0,86.0,82.0,81.0,0.0,0.0,0.0,93.0,0.0
665,0.0,0.0,0.0,0.0,71.0,67.0,76.0,50.0,62.0,82.0,91.0,51.0,62.0,70.0,69.0,65.0,57.0,85.0,78.0,80.0,74.0,76.0,84.0,60.0,81.0,84.0,84.0,71.0,78.0,0.0,79.0,0.0,84.0,75.0,72.0,67.0,54.0,69.0,58.0,66.0,55.0,71.0,80.0,74.0,78.0,65.0,66.0,64.0,65.0,91.0,67.0,61.0,97.0,90.0,80.0,71.0,77.0,74.0,75.0,76.0,63.0,70.0,54.0,69.0,83.0,68.0,97.0,64.0,75.0,72.0,0.0,0.0,0.0,86.0,0.0
